,names
476,Corticium roseum
477,Cortinarius
478,Cortinarius alboviolaceus
479,Cortinarius aleuriosmus
480,Cortinarius allutus
481,Cortinarius anomalus
482,Cortinarius anserinus
483,Cortinarius arcanus
484,Cortinarius armillatus
485,Cortinarius assiduus
486,Cortinarius atrovirens
487,Cortinarius azureus
488,Cortinarius balteatocumatilis
489,Cortinarius balteatus
490,Cortinarius bicolor
491,Cortinarius bolaris
492,Cortinarius brunneus
493,Cortinarius caerulescens
494,Cortinarius caligatus
495,Cortinarius callisteus
496,Cortinarius calochrous
497,Cortinarius camphoratus
498,Cortinarius caperatus
499,Cortinarius castaneus
500,Cortinarius causticus
501,Cortinarius cephalixus
502,Cortinarius cinnabarinus
503,Cortinarius cinnamomeus
504,Cortinarius claricolor
505,Cortinarius collinitus
506,Cortinarius conicus
507,Cortinarius cotoneus
508,Cortinarius croceocaeruleus
509,Cortinarius cruentus
510,Cortinarius cumatilis
511,Cortinarius cupreorufus
512,Cortinarius cyanites
513,Cortinarius dibaphus
514,Cortinarius duracinus
515,Cortinarius eburneus
516,Cortinarius elatior
517,Cortinarius elegantissimus
518,Cortinarius gentilis
519,Cortinarius glandicolor
520,Cortinarius glaucopus
521,Cortinarius gracilior
522,Cortinarius herculeus
523,Cortinarius hinnuleus
524,Cortinarius humicola
525,Cortinarius impolitus
526,Cortinarius inexspectatus
527,Cortinarius infractus
528,Cortinarius ionochlorus
529,Cortinarius limonius
530,Cortinarius lividoviolaceus
531,Cortinarius mairei
532,Cortinarius malicorius
533,Cortinarius mirandus
534,Cortinarius mucifloides
535,Cortinarius mucosus
536,Cortinarius multiformis
537,Cortinarius nemorosus
538,Cortinarius obtusus
539,Cortinarius ochroleucus
540,Cortinarius ochropallidus
541,Cortinarius odoratus
542,Cortinarius odorifer
543,Cortinarius olidus
544,Cortinarius orellanoides
545,Cortinarius orellanus
546,Cortinarius palustris
547,Cortinarius percomis
548,Cortinarius phoeniceus
549,Cortinarius polymorphus
550,Cortinarius praestans
551,Cortinarius privignoides
552,Cortinarius privignus
553,Cortinarius purpurascens
554,Cortinarius rapaceus
555,Cortinarius rickenianus
556,Cortinarius rubicundulus
557,Cortinarius rufoolivaceus
558,Cortinarius salor
559,Cortinarius saturninus
560,Cortinarius scobinaceus
561,Cortinarius smithii
562,Cortinarius sodagnitus
563,Cortinarius splendens
564,Cortinarius suaveolens
565,Cortinarius talus
